soil,temp,humidity,watering
22,34.3,80,1
71,27.3,85,0
22,23.9,60,1
25,25.6,58,1
80,24.1,85,0
73,28.2,92,0
43,27.8,22,1
52,23.9,34,0
58,30.8,23,0
81,27.8,94,0
78,21.1,26,0
79,28.0,87,0
85,34.5,68,0
23,37.2,51,1
9,30.5,34,1
29,15.5,60,1
58,19.1,46,0
57,28.5,80,0
12,34.1,86,1
31,30.1,81,1
72,25.2,42,0
63,39.6,63,0
74,24.6,53,0
83,28.1,51,0
40,30.1,48,1
43,35.8,46,1
93,34.0,60,0
66,24.4,55,0
41,18.3,89,0
53,39.2,70,0
49,40.8,38,1
42,16.1,30,1
49,39.9,52,0
66,20.8,88,0
39,40.2,54,1
22,17.9,95,1
35,21.5,87,0
33,32.2,26,1
17,26.2,80,1
17,33.4,37,1
5,41.0,40,1
57,32.6,80,0
66,32.6,56,0
46,22.7,27,1
16,32.6,49,1
73,34.9,24,0
27,26.3,42,1
9,41.9,70,1
68,20.0,57,0
9,15.3,92,1
82,17.9,62,0
41,27.3,89,0
72,28.3,37,0
69,27.6,44,0
19,23.9,78,1
87,21.9,43,0
6,34.9,57,1
77,33.2,44,0
27,31.5,71,1
59,28.9,31,0
56,33.1,43,0
22,27.9,51,1
5,22.0,50,1
62,35.4,62,0
43,30.7,93,1
6,22.1,66,1
93,21.4,35,0
64,23.3,71,0
92,28.6,59,0
93,18.2,57,0
52,31.6,48,0
22,27.9,78,1
82,25.1,90,0
65,35.4,47,0
36,33.4,30,1
72,27.1,66,0
14,39.8,34,1
12,37.4,84,1
30,30.5,39,1
26,23.9,86,1
61,18.1,46,0
79,28.2,85,0
62,36.8,78,0
21,28.9,78,1
77,16.6,79,0
91,36.8,22,0
55,21.9,20,0
32,30.6,25,1
59,24.3,28,0
74,41.8,28,0
65,15.9,72,0
28,35.8,73,1
52,41.8,68,0
62,38.5,68,0
53,17.2,89,0
22,32.6,64,1
20,19.8,88,1
55,29.3,48,0
5,35.4,58,1
64,33.2,89,0
59,29.4,49,0
36,27.4,39,1
40,20.1,34,1
9,36.9,73,1
83,35.7,22,0
35,20.6,32,1
81,15.9,26,0
36,35.0,71,1
61,21.3,47,0
12,18.8,57,1
34,37.0,93,1
45,30.6,61,0
35,23.1,38,1
89,29.1,72,0
43,22.4,91,0
80,38.8,42,0
85,33.3,91,0
68,16.3,64,0
87,33.1,87,0
45,33.8,72,0
24,23.1,43,1
73,27.8,48,0
43,38.2,38,1
64,39.7,91,0
57,41.1,91,0
72,18.6,51,0
37,20.5,30,1
62,37.9,31,0
73,34.6,44,0
11,22.2,25,1
14,20.1,95,1
90,30.1,81,0
31,38.5,62,1
43,40.8,21,1
32,40.3,35,1
66,39.7,46,0
55,39.7,90,0
46,35.9,68,0
64,29.4,65,0
44,22.1,85,0
68,27.6,80,0
45,39.7,67,0
45,26.2,92,0
33,35.0,22,1
38,29.9,94,0
79,34.4,57,0
24,20.3,49,1
53,30.4,51,0
68,29.9,63,0
37,35.6,82,1
87,35.0,78,0
26,34.8,65,1
26,18.8,89,1
67,20.0,89,0
87,40.8,87,0
9,37.7,29,1
90,16.3,20,0
57,18.7,49,0
13,34.1,21,1
32,28.7,67,1
12,31.7,81,1
89,28.2,20,0
73,29.9,21,0
7,29.3,55,1
73,41.4,22,0
69,37.0,75,0
27,17.9,32,1
72,19.0,44,0
84,29.2,65,0
39,36.5,30,1
52,40.9,78,0
77,21.6,48,0
43,33.5,30,1
88,41.8,24,0
16,25.9,68,1
75,27.9,21,0
94,19.6,83,0
60,32.4,62,0
77,41.4,32,0
72,39.8,49,0
32,39.3,92,1
65,22.3,29,0
92,40.0,89,0
77,32.8,42,0
45,15.4,46,0
80,18.9,70,0
14,23.1,92,1
35,30.3,69,1
91,39.2,62,0
54,35.4,37,0
93,34.6,84,0
49,16.4,75,0
34,37.6,63,1
82,35.8,70,0
46,15.8,54,0
62,28.2,65,0
75,40.4,75,0
28,33.4,68,1
15,35.8,57,1
36,34.3,30,1
39,19.2,39,1
54,23.6,33,0
16,15.1,59,1
61,24.7,54,0
18,18.6,43,1
60,27.1,91,0
70,26.0,23,0
16,24.6,31,1
81,31.1,61,0
54,15.3,72,0
54,36.0,91,0
36,30.4,41,1
92,25.3,37,0
39,23.1,83,0
23,16.7,75,1
40,26.4,81,0
14,24.8,51,1
85,28.4,45,0
63,17.9,58,0
5,40.6,62,1
84,25.3,62,0
61,24.0,37,0
43,23.7,45,0
66,23.5,70,0
45,22.9,82,0
78,36.1,61,0
53,22.6,70,0
51,18.1,92,0
30,31.0,89,1
28,33.4,90,1
8,40.7,79,1
95,20.7,57,0
93,16.9,72,0
91,28.5,58,0
35,21.8,39,1
59,36.3,29,0
62,41.7,81,0
79,25.8,84,0
93,26.3,24,0
51,33.9,88,0
81,32.2,30,0
18,35.8,65,1
26,32.5,25,1
77,41.6,71,0
47,41.1,75,0
18,15.3,53,1
33,28.8,86,1
76,30.7,93,0
33,27.0,70,1
64,35.9,95,0
93,28.5,64,0
8,28.0,57,1
58,39.9,30,0
19,37.4,38,1
49,23.4,78,0
31,29.1,64,1
65,17.6,77,0
45,16.8,25,1
95,18.1,63,0
87,18.0,41,0
36,28.9,90,0
25,23.9,74,1
64,21.3,71,0
85,20.0,75,0
55,15.8,45,0
62,31.0,69,0
5,34.0,46,1
40,35.3,28,1
78,17.7,88,0
28,24.9,45,1
63,18.1,82,0
72,41.1,60,0
81,25.5,70,0
80,18.1,65,0
63,31.7,58,0
83,30.9,37,0
45,18.2,59,0
19,19.9,38,1
70,25.5,37,0
78,25.4,43,0
67,32.2,42,0
76,19.5,56,0
22,20.1,77,1
84,16.4,65,0
6,28.1,44,1
54,41.0,84,0
88,28.4,82,0
58,34.2,76,0
67,19.5,92,0
8,36.5,48,1
42,15.9,48,0
73,22.8,78,0
77,35.0,83,0
75,28.8,93,0
19,22.2,89,1
51,29.6,25,0
61,29.8,74,0
18,34.9,51,1
43,38.6,24,1
62,22.1,31,0
61,38.4,35,0
35,20.7,95,0
93,24.5,74,0
26,31.6,46,1
31,36.7,92,1
49,29.4,88,0
26,23.7,57,1
42,30.5,85,1
91,37.0,37,0
57,39.8,55,0
88,18.4,36,0
36,18.9,61,0
36,35.6,70,1
67,18.8,54,0
85,26.2,77,0
14,32.1,31,1
56,28.9,55,0
93,40.3,67,0
63,40.7,61,0
79,15.1,31,0
63,32.1,65,0
13,36.5,70,1
32,41.1,47,1
68,22.3,56,0
48,29.8,36,1
77,38.0,63,0
92,35.6,25,0
17,31.9,78,1
7,18.4,40,1
61,27.3,74,0
30,41.9,36,1
88,23.2,55,0
16,32.7,52,1
15,25.0,41,1
11,25.7,59,1
94,35.4,74,0
88,17.5,32,0
5,20.8,29,1
21,31.0,86,1
92,27.0,21,0
94,24.3,35,0
59,33.7,81,0
14,21.2,31,1
18,17.8,67,1
43,18.7,37,1
87,41.8,38,0
13,29.3,21,1
83,32.6,76,0
49,34.5,39,1
57,31.6,76,0
32,17.3,32,1
22,35.3,95,1
54,24.5,74,0
45,36.4,51,0
40,32.4,51,1
75,31.2,56,0
93,15.7,58,0
31,29.0,85,1
29,35.2,57,1
87,16.5,50,0
68,25.4,50,0
68,32.2,29,0
72,39.0,21,0
51,40.2,36,0
54,38.2,92,0
58,24.9,42,0
65,40.8,29,0
7,30.9,21,1
38,20.8,27,1
55,28.7,84,0
58,26.4,71,0
15,32.3,88,1
83,19.1,30,0
44,17.1,46,0
24,29.5,70,1
80,32.1,28,0
44,33.9,50,1
12,21.6,75,1
19,27.2,27,1
44,33.0,42,1
20,15.3,37,1
94,15.3,83,0
49,29.1,53,0
26,25.0,54,1
20,35.8,23,1
47,36.8,54,0
72,16.7,93,0
85,17.1,78,0
70,24.7,83,0
77,19.5,40,0
37,35.9,93,1
91,34.5,49,0
70,15.1,21,0
36,16.2,66,0
54,39.8,42,0
9,29.9,73,1
33,23.7,73,1
45,22.3,29,1
78,25.1,84,0
91,39.4,42,0
33,36.7,25,1
56,16.9,79,0
41,35.9,59,1
46,17.3,78,0
6,25.0,57,1
77,36.2,51,0
64,24.9,83,0
30,34.8,89,1
36,19.1,72,0
8,21.3,64,1
86,37.7,21,0
47,15.0,68,0
44,17.8,87,0
35,26.3,27,1
23,34.2,31,1
10,39.9,86,1
57,33.9,67,0
63,41.3,30,0
79,17.6,37,0
86,37.1,29,0
80,30.3,75,0
89,41.0,50,0
42,22.0,60,0
55,33.9,61,0
45,27.2,49,0
14,40.5,37,1
79,17.9,33,0
26,27.1,60,1
57,18.3,65,0
31,27.2,79,1
38,38.0,31,1
25,36.8,58,1
95,33.8,25,0
32,37.6,61,1
23,17.5,51,1
50,25.7,26,0
91,23.1,42,0
8,40.7,77,1
76,35.2,51,0
17,27.5,37,1
20,15.3,48,1
21,20.3,71,1
52,33.5,30,0
79,30.8,29,0
7,41.9,45,1
87,27.0,36,0
16,39.4,62,1
20,16.2,79,1
11,19.5,93,1
60,37.2,70,0
68,15.8,74,0
27,24.6,43,1
40,22.6,39,1
9,31.6,51,1
87,23.0,72,0
75,27.9,31,0
40,25.3,73,0
30,32.4,87,1
36,32.0,89,1
7,41.7,65,1
66,29.7,82,0
49,39.6,84,0
46,25.5,43,0
8,23.6,48,1
8,39.2,55,1
12,36.8,80,1
72,24.7,94,0
34,41.3,32,1
36,32.7,54,1
73,37.0,27,0
33,30.5,69,1
50,40.3,42,0
27,21.4,60,1
94,24.7,95,0
8,34.0,65,1
77,30.2,92,0
29,37.6,83,1
74,23.3,82,0
9,17.4,49,1
82,20.9,87,0
66,15.0,45,0
21,24.2,42,1
46,16.6,38,1
80,34.0,38,0
19,37.9,66,1
14,25.1,70,1
80,17.7,58,0
46,18.7,40,0
60,36.4,82,0
88,23.6,91,0
93,39.0,65,0
33,33.0,42,1
53,23.3,57,0
21,19.8,20,1
94,40.6,70,0
77,15.9,60,0
83,21.0,92,0
18,40.3,38,1
47,35.1,50,0
49,41.5,41,0
86,38.9,31,0
95,33.1,62,0
62,15.3,46,0
36,33.7,64,1
37,36.2,20,1
11,25.4,73,1
26,38.9,83,1
53,24.5,68,0
17,37.4,93,1
88,35.5,48,0
25,27.2,24,1
42,15.5,53,0
18,17.0,41,1
53,19.3,29,0
75,40.4,31,0
48,31.0,81,0
95,15.8,41,0
82,39.0,40,0
11,17.7,46,1
29,26.1,90,1
74,22.2,56,0
43,21.4,26,1
55,30.4,82,0
24,16.5,20,1
59,17.4,81,0
30,17.6,46,1
26,32.2,30,1
65,37.8,59,0
55,27.7,53,0
16,32.3,69,1
28,25.0,68,1
52,20.0,25,0
38,26.9,53,0
33,37.6,92,1
12,19.1,32,1
15,33.0,89,1
57,41.2,95,0
34,29.9,69,1
71,26.3,88,0
92,38.4,80,0
78,38.8,80,0
43,17.1,24,1
69,30.4,86,0
78,33.3,38,0
20,40.6,77,1
27,40.6,41,1
32,36.8,36,1
10,26.4,75,1
30,41.9,38,1
81,22.0,28,0
16,25.5,70,1
75,23.8,55,0
71,27.4,21,0
94,31.8,86,0
58,18.0,39,0
23,30.3,94,1
17,40.0,92,1
17,36.2,88,1
49,38.7,53,0
54,32.7,93,0
82,27.8,42,0
40,25.9,71,0
9,25.7,62,1
93,21.4,80,0
39,39.2,22,1
48,37.1,58,0
44,22.6,82,0
94,33.5,49,0
22,23.1,76,1
46,22.3,73,0
82,32.4,44,0
61,20.7,72,0
67,35.5,67,0
12,28.9,40,1
13,23.4,84,1
56,18.7,87,0
77,15.8,44,0
30,37.6,51,1
9,27.3,66,1
95,20.4,67,0
64,28.6,35,0
92,15.8,67,0
67,31.0,42,0
65,30.8,64,0
49,19.4,53,0
93,17.4,23,0
54,16.3,93,0
32,38.1,48,1
91,20.6,72,0
70,15.5,21,0
65,39.6,42,0
81,36.6,48,0
37,31.4,59,1
95,32.4,74,0
53,38.0,78,0
37,20.9,58,0
91,29.1,70,0
79,17.8,85,0
89,41.1,67,0
76,32.5,56,0
43,33.5,81,1
13,24.1,55,1
86,23.8,55,0
38,32.7,58,1
29,19.0,50,1
12,36.7,71,1
89,23.6,37,0
8,32.7,57,1
38,39.5,71,1
54,34.9,94,0
95,41.9,44,0
48,34.6,48,0
92,29.4,80,0
90,24.7,58,0
26,37.7,91,1
28,22.9,80,1
21,35.0,91,1
28,40.6,62,1
88,17.4,65,0
33,35.1,59,1
58,36.3,62,0
52,22.0,57,0
64,38.0,80,0
11,38.4,94,1
79,40.5,29,0
65,39.0,84,0
20,38.4,68,1
72,23.1,26,0
24,18.7,45,1
48,26.0,92,0
63,18.9,43,0
15,28.2,42,1
45,32.1,20,1
62,22.4,41,0
78,35.6,82,0
16,18.5,75,1
86,26.6,74,0
66,25.3,24,0
73,20.4,67,0
6,39.1,87,1
29,15.5,20,1
85,34.8,48,0
93,38.7,59,0
21,17.8,84,1
80,23.3,28,0
10,23.1,57,1
63,34.7,87,0
48,26.7,37,1
48,41.9,82,0
50,35.3,41,0
56,15.5,48,0
21,20.7,22,1
80,28.6,35,0
51,34.2,24,0
53,38.7,52,0
73,31.8,26,0
89,17.9,22,0
11,33.6,73,1
61,25.3,90,0
37,27.8,39,1
31,33.8,21,1
43,26.4,32,1
89,29.0,37,0
58,37.4,33,0
70,34.4,35,0
41,18.1,33,1
68,20.4,45,0
38,37.5,45,1
50,34.0,57,0
25,16.1,83,1
31,33.6,81,1
47,21.3,21,1
90,17.4,34,0
78,33.1,39,0
16,36.0,29,1
17,39.4,49,1
63,41.7,57,0
38,27.5,32,1
27,38.6,57,1
51,36.6,60,0
59,34.9,32,0
10,15.3,37,1
89,32.5,62,0
50,39.2,54,0
16,25.1,63,1
28,18.1,71,1
63,22.3,69,0
93,38.0,73,0
88,38.9,41,0
19,18.6,27,1
25,17.8,95,1
66,36.7,76,0
28,31.5,65,1
83,15.8,36,0
66,39.9,34,0
57,26.9,28,0
38,32.7,21,1
95,38.4,87,0
78,34.5,48,0
90,38.6,86,0
71,33.6,32,0
60,32.9,51,0
66,24.3,69,0
24,37.7,91,1
83,16.5,40,0
69,37.9,83,0
26,17.0,82,1
46,21.5,55,0
11,28.7,90,1
87,25.2,50,0
15,27.4,93,1
62,17.4,83,0
62,23.5,83,0
88,15.5,71,0
57,16.0,90,0
5,37.3,58,1
70,30.2,78,0
48,24.8,26,1
33,37.8,62,1
76,35.7,80,0
89,24.8,77,0
19,17.6,48,1
5,24.2,57,1
75,29.1,33,0
10,39.2,83,1
22,37.2,72,1
18,21.9,45,1
29,18.3,70,1
